id,amount,status,created_at,updated_at,user_id,moderated_at,deleted_account_id,reimbursement_date,cash_request_received_date,money_back_date,transfer_type,send_at,recovery_status,reco_creation,reco_last_update
7036,100.0,money_back,07/07/2020,18/12/2020,6379.0,08/07/2020,,,10/07/2020,,regular,,,,
18507,70.0,money_back,30/09/2020,18/12/2020,55122.0,30/09/2020,,,01/10/2020,05/11/2020,instant,07/10/2020,,,
5061,100.0,money_back,24/06/2020,18/12/2020,20434.0,25/06/2020,,,30/06/2020,,regular,,,,
4566,100.0,money_back,22/06/2020,18/12/2020,3120.0,22/06/2020,,,25/06/2020,,regular,,,,
9857,100.0,money_back,28/07/2020,18/12/2020,34762.0,28/07/2020,,,01/08/2020,,instant,04/08/2020,,,
8935,100.0,money_back,19/07/2020,18/12/2020,7245.0,20/07/2020,,,21/07/2020,02/10/2020,regular,,,,
8651,100.0,money_back,17/07/2020,18/12/2020,2676.0,17/07/2020,,,21/07/2020,,regular,,,,
20817,80.0,money_back,13/10/2020,18/12/2020,66688.0,,,,15/10/2020,26/10/2020,instant,13/10/2020,,,
7059,100.0,money_back,08/07/2020,18/12/2020,21202.0,08/07/2020,,,10/07/2020,,regular,,,,
7945,100.0,money_back,14/07/2020,18/12/2020,33136.0,14/07/2020,,08/08/2020,15/07/2020,,regular,,,,
23243,100.0,money_back,22/10/2020,18/12/2020,83312.0,,,,23/10/2020,05/11/2020,instant,22/10/2020,,,
7776,100.0,money_back,13/07/2020,18/12/2020,32356.0,13/07/2020,,,15/07/2020,,regular,,,,
6542,100.0,money_back,04/07/2020,18/12/2020,26605.0,04/07/2020,,,07/07/2020,,regular,,,,
3000,100.0,money_back,11/06/2020,18/12/2020,565.0,11/06/2020,,10/07/2020,13/06/2020,,regular,,completed,18/07/2020,18/07/2020
14202,100.0,money_back,01/09/2020,18/12/2020,34582.0,01/09/2020,,,03/09/2020,30/09/2020,instant,08/09/2020,,,
3145,100.0,money_back,12/06/2020,18/12/2020,10123.0,12/06/2020,,,16/06/2020,,regular,,,,
4174,100.0,money_back,19/06/2020,18/12/2020,17777.0,19/06/2020,,,23/06/2020,,regular,,,,
23940,100.0,money_back,24/10/2020,18/12/2020,32987.0,,,,03/11/2020,24/11/2020,regular,31/10/2020,,,
7165,100.0,money_back,08/07/2020,18/12/2020,18664.0,08/07/2020,,,09/07/2020,,regular,,,,
4264,100.0,money_back,19/06/2020,18/12/2020,13803.0,20/06/2020,,09/07/2020,23/06/2020,,regular,,,,
4572,100.0,money_back,22/06/2020,18/12/2020,,22/06/2020,11824.0,,24/06/2020,,regular,,,,
2884,100.0,money_back,10/06/2020,18/12/2020,6610.0,15/06/2020,,,16/06/2020,02/07/2020,regular,,,,
6508,100.0,money_back,03/07/2020,18/12/2020,26388.0,05/07/2020,,,07/07/2020,05/10/2020,regular,,,,
2516,100.0,money_back,03/06/2020,18/12/2020,12487.0,03/06/2020,,,05/06/2020,07/07/2020,regular,,,,
5053,100.0,money_back,24/06/2020,18/12/2020,19466.0,25/06/2020,,,30/06/2020,07/07/2020,regular,,,,
4342,100.0,money_back,20/06/2020,18/12/2020,,20/06/2020,3888.0,,23/06/2020,,regular,,,,
8951,25.0,money_back,19/07/2020,18/12/2020,34092.0,19/07/2020,,,21/07/2020,08/09/2020,regular,,completed,14/08/2020,08/09/2020
6556,100.0,money_back,04/07/2020,18/12/2020,27020.0,04/07/2020,,15/07/2020,07/07/2020,,regular,,,,
23646,25.0,money_back,23/10/2020,18/12/2020,67292.0,,,,24/10/2020,31/10/2020,instant,23/10/2020,,,
5930,100.0,money_back,30/06/2020,18/12/2020,24526.0,30/06/2020,,,01/07/2020,,regular,,,,
10551,100.0,money_back,02/08/2020,18/12/2020,13405.0,02/08/2020,,,05/08/2020,,regular,09/08/2020,,,
6821,100.0,money_back,06/07/2020,18/12/2020,19461.0,07/07/2020,,,08/07/2020,,regular,,,,
7182,100.0,money_back,08/07/2020,18/12/2020,3121.0,08/07/2020,,,10/07/2020,,regular,,,,
9858,100.0,money_back,28/07/2020,18/12/2020,34846.0,28/07/2020,,,29/07/2020,04/09/2020,instant,04/08/2020,,,
4952,100.0,money_back,24/06/2020,18/12/2020,20836.0,24/06/2020,,,30/06/2020,,regular,,,,
3064,100.0,money_back,11/06/2020,18/12/2020,13921.0,12/06/2020,,,16/06/2020,,regular,,,,
7622,100.0,money_back,11/07/2020,18/12/2020,10102.0,11/07/2020,,,14/07/2020,,regular,,,,
6820,100.0,money_back,06/07/2020,18/12/2020,10314.0,07/07/2020,,,09/07/2020,,regular,,,,
6829,100.0,money_back,06/07/2020,18/12/2020,7039.0,07/07/2020,,,07/07/2020,28/08/2020,regular,,completed,27/08/2020,28/08/2020
3910,100.0,money_back,18/06/2020,18/12/2020,2329.0,18/06/2020,,,19/06/2020,,regular,,,,
9859,100.0,money_back,28/07/2020,18/12/2020,5264.0,28/07/2020,,,29/07/2020,,regular,04/08/2020,,,
5443,100.0,money_back,26/06/2020,18/12/2020,22456.0,26/06/2020,,,30/06/2020,,regular,,,,
4123,100.0,money_back,19/06/2020,18/12/2020,13871.0,19/06/2020,,,23/06/2020,,regular,,,,
20225,50.0,money_back,09/10/2020,18/12/2020,65744.0,,,,12/10/2020,05/11/2020,instant,09/10/2020,,,
10552,100.0,money_back,02/08/2020,18/12/2020,6743.0,02/08/2020,,,04/08/2020,,instant,09/08/2020,,,
7972,20.0,money_back,14/07/2020,18/12/2020,31058.0,14/07/2020,,,,15/07/2020,regular,,,,
7615,50.0,money_back,11/07/2020,18/12/2020,16033.0,11/07/2020,,,14/07/2020,15/08/2020,regular,,completed,15/08/2020,15/08/2020
